B_Sell,B_Purc,O_Sell,O_Purc,B_Cha,B_Dis,O_Cha,O_Dis,SoC,LMP_Bid,LMP_Oper,Solar_G,Solar_bd,Profit_bid,Profit_oper,Degradation,Total_Profit
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0402193069458,11.88,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.999999999999998,0.0,0.0,4.999999999999998,0.0,0.0,0.0,0.0,11.219687461853027,11.924166666666666,0.0,0.0,-56.098437309265115,59.62083333333331,0.0,3.5223960240681933
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.221246719360352,11.1675,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.140646934509277,10.310833333333331,0.0,0.0,-40.70323467254639,51.55416666666666,0.0,10.850931994120273
0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.196823120117188,10.3375,0.0,0.0,-45.98411560058594,51.6875,0.0,5.7033843994140625
0.0,4.999999999958367,0.0,0.0,4.999999999958367,0.0,0.0,0.0,0.0,8.218646049499512,9.006666666666666,0.0,0.0,-41.09323024715539,45.03333333295835,0.0,3.94010308580296
0.0,25.0,0.0,20.0,25.0,0.0,20.0,0.0,19.0,6.533509254455566,7.3375,0.0,0.0,-163.33773136138916,36.6875,50.0,-176.65023136138916
0.0,25.0,0.0,20.0,25.0,0.0,20.0,0.0,38.0,5.838385581970215,7.066666666666666,0.0,0.0,-145.95963954925537,35.33333333333333,50.0,-160.62630621592206
0.0,4.999999999999998,0.0,0.0,4.999999999999998,0.0,0.0,0.0,38.0,8.431440353393555,9.309166666666668,0.0,0.0,-42.15720176696776,46.54583333333332,0.0,4.388631566365561
0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,38.0,7.974442005157471,8.753333333333332,0.0,0.0,-39.87221002578735,43.76666666666666,0.0,3.894456640879305
0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,38.0,7.633009910583496,8.169166666666667,0.0,0.0,-38.16504955291748,40.84583333333334,0.0,2.680783780415858
0.0,25.0,0.0,20.0,25.0,0.0,20.0,0.0,57.0,6.249880313873291,8.455833333333333,0.0,0.0,-156.24700784683228,42.27916666666666,50.0,-163.9678411801656
0.0,4.999999999999998,0.0,0.0,4.999999999999998,0.0,0.0,0.0,57.0,7.213972568511963,9.95,0.0,0.0,-36.0698628425598,49.74999999999998,0.0,13.680137157440178
0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,57.0,7.661158084869385,9.36,0.0,0.0,-38.305790424346924,46.8,0.0,8.494209575653073
0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,57.0,6.754530906677246,7.664166666666666,0.0,0.0,-33.77265453338623,38.320833333333326,0.0,4.548178799947095
0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,57.0,7.304480075836182,8.438333333333333,0.0,0.0,-36.52240037918091,42.19166666666666,0.0,5.669266287485755
0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,57.0,6.73724126815796,8.746666666666668,0.0,0.0,-33.6862063407898,43.73333333333334,0.0,10.04712699254354
0.0,25.0,0.0,20.0,25.0,0.0,20.0,0.0,76.0,6.501277923583984,8.7375,0.0,0.0,-162.5319480895996,43.6875,50.0,-168.8444480895996
0.0,4.999999999958367,0.0,0.0,4.999999999958367,0.0,0.0,0.0,76.0,6.676217555999756,8.93,0.0,0.0,-33.38108777972083,44.649999999628214,0.0,11.268912219907385
0.0,4.999999999999998,0.0,0.0,4.999999999999998,0.0,0.0,0.0,76.0,6.594011306762695,9.136666666666668,0.0,0.0,-32.97005653381346,45.68333333333332,0.0,12.71327679951986
0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,76.0,7.322320461273193,9.758333333333333,0.0,0.0,-36.61160230636597,48.791666666666664,0.0,12.180064360300698
0.0,4.999999999999998,0.0,0.0,4.999999999999998,0.0,0.0,0.0,76.0,8.40904712677002,9.089166666666666,0.0,0.0,-42.04523563385008,45.44583333333331,0.0,3.400597699483228
0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,76.0,7.705135822296143,9.311666666666667,0.0,0.0,-38.52567911148071,46.55833333333334,0.0,8.032654221852624
0.0,25.0,0.0,20.0,25.0,0.0,20.0,0.0,95.0,6.516254425048828,10.345,0.0,0.0,-162.9063606262207,51.725,50.0,-161.1813606262207
0.0,5.2631578947368425,0.0,0.2631578947368421,5.2631578947368425,0.0,0.2631578947368421,0.0,95.25,6.579885482788086,10.07,0.0,0.0,-34.630976225200456,50.35,0.6578947368421052,15.061129037957441
0.0,4.999999999999998,0.0,0.0,4.999999999999998,0.0,0.0,0.0,95.25,7.615588188171387,10.705,0.0,0.0,-38.07794094085692,53.524999999999984,0.0,15.447059059143065
0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,95.25,8.318995475769043,10.8625,0.0,0.0,-41.594977378845215,54.3125,0.0,12.717522621154785
0.0,5.000000000000009,0.0,1.627387460900742e-14,5.000000000000009,0.0,0.002154316105926874,0.0,95.25204660030063,7.603865146636963,10.386666666666668,0.0021543161059106,0.0,-38.019325733184886,51.933333333333266,0.005385790264817185,13.908621809883563
0.0,4.934900534117143,0.06509946588269727,0.0,4.964288791851772,0.0,0.04606324783261853,0.0,95.29580668574162,9.488462448120115,12.420833333333334,0.1111627137153158,0.0293882577344767,-46.82461840317841,62.10416666666469,0.11515811958154633,15.16439014390473
0.0,4.607914446227309,0.3920855537726906,0.0,4.951782436061495,0.0,0.0,0.0,95.29580668574162,10.070606231689451,12.726666666666668,0.3920855537726906,0.343867989834186,-46.40449193726859,63.63333333333334,0.0,17.22884139606475
0.0,3.9396455347943413,1.0603544652056565,0.0,4.823991949185876,0.0,0.0,0.0,95.29580668574162,10.471027374267578,13.619166666666668,1.0603544652056565,0.884346414391532,-41.25213623974258,68.09583333333332,0.0,26.843697093590734
